year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2023,PM2.5,69,VR - Belmonte,2023-10,30,4,0,72.82,2023-10-04T20:00:00,94.76,HIGH,Cobertura técnica de 94.8% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-11,30,6,0,54.69,2023-11-07T22:00:00,98.33,HIGH,Cobertura técnica de 98.3% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-12,31,6,0,58.53,2023-12-28T22:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-01,31,1,1,251.46,2023-01-25T09:00:00,94.35,HIGH,Cobertura técnica de 94.4% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-02,26,0,0,133.75,2023-02-22T10:00:00,94.05,HIGH,Cobertura técnica de 94.0% com 26 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-03,31,3,0,147.60,2023-03-27T17:00:00,98.12,HIGH,Cobertura técnica de 98.1% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-04,30,0,0,182.97,2023-04-06T17:00:00,98.47,HIGH,Cobertura técnica de 98.5% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-05,31,2,1,235.31,2023-05-05T12:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-06,30,4,1,193.20,2023-06-21T09:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-07,28,2,0,149.82,2023-07-24T21:00:00,94.35,HIGH,Cobertura técnica de 94.4% com 28 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-08,31,4,1,176.15,2023-08-06T09:00:00,99.33,HIGH,Cobertura técnica de 99.3% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-09,30,5,3,173.01,2023-09-27T09:00:00,98.89,HIGH,Cobertura técnica de 98.9% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-10,28,1,0,137.79,2023-10-27T17:00:00,88.31,HIGH,Cobertura técnica de 88.3% com 28 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-11,30,2,1,170.39,2023-11-09T21:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-12,31,0,0,138.91,2023-12-20T17:00:00,97.45,HIGH,Cobertura técnica de 97.4% com 31 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-01,28,1,0,69.60,2023-01-25T09:00:00,89.52,HIGH,Cobertura técnica de 89.5% com 28 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-02,25,0,0,47.36,2023-02-22T10:00:00,94.79,HIGH,Cobertura técnica de 94.8% com 25 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-03,31,1,0,43.16,2023-03-24T17:00:00,99.60,HIGH,Cobertura técnica de 99.6% com 31 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-04,30,0,0,61.02,2023-04-15T16:00:00,99.86,HIGH,Cobertura técnica de 99.9% com 30 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-05,31,2,0,83.72,2023-05-05T12:00:00,99.60,HIGH,Cobertura técnica de 99.6% com 31 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-06,30,7,0,86.46,2023-06-21T09:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-07,28,3,0,118.59,2023-07-24T21:00:00,93.41,HIGH,Cobertura técnica de 93.4% com 28 dias válidos analiticamente.
